Video ID,Title,Description,Channel Title,Video Published At,Video URL,Keyword Tags,YouTube Video Category,Video Duration,View Count,Comment Count,Location of Recording,Topics,Captions Available,Caption Text
hq3yfQnllfQ,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,Check out the new Vegetable Dance Party song! - https://youtu.be/seCqGIm4QUg You can listen to this song on your preferred ...,ChuChu TV Nursery Rhymes & Kids Songs,2014-03-06T20:57:50Z,https://www.youtube.com/watch?v=hq3yfQnllfQ,"phonics, song, phonics song, phonics songs, learn, abc song, abc songs for children, Children's Song, sounds, Animation, Cartoon, Songs, education, preschool, Animated, Song, alphabets, rhymes, nursery rhyme, music, children, chuchutv, Playlist, kids songs, songs for children, kids, music for children, children songs, alphabet songs for children, teach, School, Word, abc phonics song, Alphabet Song, Phonics (TV Subject), ChuChuTV, abcd songs, nursery rhymes, english varnamala",27,PT4M6S,6176219378,0,,https://en.wikipedia.org/wiki/Music,TRUE,"A for Apple, A for Ant B for Bat, B for Ball C for Cat and C for Cup D for Dog, D for Dots E for Egg and E for Elephant F for Frog, F for Fish G for Goat and G for Grass H for Hand, H for Hat I for Ink and I for Insect J for Juice, J for Jar K for King and K for Kite L for Lamb, L for Leaf M for Man and M for Monkey N for Neck, N for Nose O for Ocean, O for Oar P for Plum, P for Parrot Q for Queen and Q for Quail R for Rope, R for Rat  S for Sun and S for Sun Flower T for Tap, T for Tub U for Uncle, U for Umbrella V for Violin, V for Violet W for Well and W for Water X for Box, X for Fox Y for Yacht and Y for Yellow Z for Zoo, Z for Zebra"
fHqjNHxmB7c,ChuChu TV Numbers Song - NEW Short Version - Number Rhymes For Children,This song is available to listen on all music streaming platforms.- https://orcd.co/chuchutvhits . . . Numbers Song Global English ...,ChuChu TV Nursery Rhymes & Kids Songs,2014-08-21T02:57:16Z,https://www.youtube.com/watch?v=fHqjNHxmB7c,"numbers, numbers song, numbers for children, Education, 1 to 10, learn to count, count, counting, 123 song, 123 numbers song, 123 song for children, learn numbers, rhymes, Animation, Cartoon, Children's Song, music, children, chuchutv, Playlist, kids songs, songs for children, kids, music for children, rhymes for children, children songs, children rhymes, nursery rhyme lyrics, preschool, ChuChuTV, number rhymes, dancing, singing, numbers rhymes for children, Childrens, learn, teacher",27,PT4M12S,1967298532,0,,https://en.wikipedia.org/wiki/Music,FALSE,
3xqqj9o7TgA,The Finger Family Song | ChuChu TV Nursery Rhymes &amp; Songs For Children,This song is available to listen on all music streaming platforms.- https://orcd.co/chuchutvhits Here's the link to the global English ...,ChuChu TV Nursery Rhymes & Kids Songs,2015-03-20T19:27:05Z,https://www.youtube.com/watch?v=3xqqj9o7TgA,"Finger Family, finger family nursery rhymes, finger family rhymes, finger family song, Nursery Rhymes, Popular Nursery Rhymes, Top Nursery Rhymes, rhyme, playlist, rhymes, nursery rhymes, children, Lyrics, Animation, Cartoon, Song, Songs, playing, music, Playlist, kids songs, songs for children, kids, music for children, rhymes for children, children songs, children rhymes, nursery rhyme lyrics, learn, Education, preschool, Family, toddlers, dancing, activity, Childrens, dance, School, Parents, Parenting",27,PT5M52S,1415802714,,,https://en.wikipedia.org/wiki/Music,TRUE,"Daddy Finger Where are you Here I am .Here I am. Daddy finger Whats your name Thumb Iam Thumb I am Call me thumb Mommy Finger Mommy Finger where are you here I am, Here I am how do you do Mommy Finger Whats your name I am called Index finger you know me Brother finger, Brother finger Where are you Here I am , Here I am How do you do Brother Finger, Brother finger Whats your name Middle finger,Middle Finger Now you know me Sister Finger,Sister finger Where are you Here I am ,Here I am How do you do Sister finger,Sister finger Whats your name Ring finger, ring finger I wear the ring Baby Finger,Baby Finger Where are yiu Here I am, Here I am How do you do Baby finger,Baby finger Baby finger, Baby finger Whats your name? Thats my name Baby finger, Thats my name"
h4eueDYPTIg,"Head, Shoulders, Knees &amp; Toes - Exercise Song For Kids",This song is available to listen on all music streaming platforms.- https://orcd.co/chuchutvhits . . . Embrace the fun and fitness with ...,ChuChu TV Nursery Rhymes & Kids Songs,2014-04-04T13:29:30Z,https://www.youtube.com/watch?v=h4eueDYPTIg,"head, exercise, fitness, kids, children, song, songs, rhyme, rhymes, nursery rhyme, Lyrics, Animation, Cartoon, playing, jumping, Children's Song, music, chuchutv, Playlist, kids songs, songs for children, music for children, rhymes for children, children songs, children rhymes, nursery rhyme lyrics, alphabet songs for children, learn, Education, preschool, numbers song, numbers for children, children dance, Singing, shoulders, knees, toes, exercise for children, aerobics, twinkle twinkle little star",27,PT2M11S,1245225163,0,,"https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Physical_fitness",TRUE,"Hi kids! Let's shake our body. Come on! Dance to the tune Work out is a move! We are healthy soon! Head, Shoulders, Knees and Toes (Knees and Toes) And eyes and ears and mouth and nose Head, Shoulders, Knees and Toes (Knees and Toes) March. march, march. Let us all march! March, march, march. Get your body charged! Head, Shoulders, Knees and Toes (Knees and Toes) Head, Shoulders, Knees and Toes (Knees and Toes) And eyes and ears and mouth and nose Head, Shoulders, Knees and Toes (Knees and Toes) Jump, jump, jump. Let us all jump! Jump, jump, jump. Make your muscle pump! Punch, punch, punch. Let us all punch! Punch, punch, punch. Have a hearty munch! Head, Shoulders, Knees and Toes (Knees and Toes) And eyes and ears and mouth and nose Head, Shoulders, Knees and Toes (Knees and Toes)"
HgzGwKwLmgM,Queen - Don&#39;t Stop Me Now (Official Video),"Taken from Jazz, 1978 and Greatest Video Hits 1. Click here to buy the DVD with this video at the Official Queen Store: ...",Queen Official,2008-08-01T12:05:22Z,https://www.youtube.com/watch?v=HgzGwKwLmgM,"Queen, Freddie Mercury, Brian May, Roger Taylor, John Deacon, adam lambert, Bohemian, Rhapsody, queen official video, queen official channel, queen official, queen music, Progressive Rock, Rock Music, official video, official music video, queen official videos, queen official music, queen don't stop me now, don't stop me now queen, don't stop me now official video, don't stop me now music video",10,PT3M33S,914166665,240819,,"https://en.wikipedia.org/wiki/Jazz, https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music, https://en.wikipedia.org/wiki/Rock_music",FALSE,
tD4HCZe-tew,Zara Larsson - Lush Life,"Download """"Lush Life"""" at iTunes: http://smarturl.it/LushLifeiTunes Spotify: http://smarturl.it/LushLifeSptfy Google Play: ...",ZaraLarssonMusicVEVO,2015-07-01T07:00:01Z,https://www.youtube.com/watch?v=tD4HCZe-tew,"Uncover, Sweden, Talang, She's Not Me (Pt. 1), Bad Boys, ZaraLarssonvevo, vevo, official, video, music video, single, album, pop, So Good, Epic/Record Company TEN, Lush Life, Zara Larsson",10,PT3M22S,851099011,146364,,"https://en.wikipedia.org/wiki/Electronic_music, https://en.wikipedia.org/wiki/Independent_music, https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music",TRUE,"(upbeat dance music) ♪ I live my day as if it was the last ♪ ♪ Live my day as if there was no past ♪ ♪ Doin' it all night, all summer ♪ ♪ Doin' it the way I wanna ♪ ♪ Yeah, I'ma dance my
heart out 'til the dawn ♪ ♪ But I won't be done when mornin' comes ♪ ♪ Doin' it all night, all summer ♪ ♪ Gonna spend it like no other, yeah ♪ ♪ It was a crush ♪ ♪ But I couldn't, couldn't get enough ♪ ♪ It was a rush ♪ ♪ But I gave it up ♪ ♪ It was a crush ♪ ♪ Now, I might've went and said too much ♪ ♪ But that's all it was ♪ ♪ So I gave it up ♪ ♪ I live my day as if it was the last ♪ ♪ Live my day as if there was no past ♪ ♪ Doin' it all night, all summer ♪ ♪ Doin' it the way I wanna ♪ ♪ Yeah, I'ma dance my
heart out 'til the dawn ♪ ♪ But I won't be done when mornin' comes ♪ ♪ Doin' it all night, all summer ♪ ♪ Gonna spend it like no other, yeah ♪ ♪ It was a crush ♪ ♪ I kept sayin' I'ma stay in touch ♪ ♪ But that thing went bust ♪ ♪ So I gave it up ♪ ♪ Ooh ♪ ♪ No tricks, no bluff ♪ ♪ I'm just better off without them cuffs ♪ ♪ Yeah, the sun won't set on us ♪ ♪ Ooh, ooh, ooh ♪ ♪ Yeah, yeah ♪ ♪ Went low, went high ♪ ♪ Still waters run dry ♪ ♪ Gotta get back in the groove ♪ ♪ I ain't ever worried ♪ ♪ Went low, went high,
what matters is now ♪ ♪ Gettin' right back in the mood ♪ ♪ I live my day as if it was the last ♪ ♪ Live my day as if there was no past ♪ ♪ Doin' it all night, all summer ♪ ♪ Doin' it the way I wanna ♪ ♪ Yeah, I'ma dance my
heart out 'til the dawn ♪ ♪ But I won't be done when mornin' comes ♪ ♪ Doin' it all night, all summer ♪ ♪ Gonna spend it like no other ♪ ♪ Now I've found another crush ♪ ♪ The lush life's given me a rush ♪ ♪ Had one chance to make me blush ♪ ♪ Second time is one too late ♪ ♪ Now I've found another crush ♪ ♪ The lush life's given me a rush ♪ ♪ Had one chance to make me blush ♪ ♪ Second time is one too late ♪ ♪ Ooh, ooh, ooh, ooh ♪ ♪ Ooh, ooh, ooh, ooh ♪ ♪ I live my day as if it was the last ♪ ♪ Live my day as if there was no past ♪ ♪ Doin' it all night, all summer ♪ ♪ Doin' it the way I wanna ♪ ♪ Yeah, I'ma dance my
heart out 'til the dawn ♪ ♪ But I won't be done when mornin' comes ♪ ♪ Doin' it all night, all summer ♪ ♪ Gonna spend it like no other ♪ ♪ Now I've found another crush ♪ ♪ The lush life's given me a rush ♪ ♪ Had one chance to make me blush ♪ ♪ Second time is one too late ♪ ♪ Now I've found another crush ♪ ♪ The lush life's given me a rush ♪ ♪ Had one chance to make me blush ♪ ♪ Second time is one too late ♪"
5Eqb_-j3FDA,Coke Studio | Season 14 | Pasoori | Ali Sethi x Shae Gill,"Let's transcend boundaries and bridge distances through compassion, love and identity. #Pasoori #RealMagic ...",Coke Studio Pakistan,2022-02-07T12:00:05Z,https://www.youtube.com/watch?v=5Eqb_-j3FDA,"coke studio, cocacola pakistan, coke studio pakistan, SoundOfTheNation, Xulfi, FusionMusic, Coke Studio Season 14, Season 14, Real Magic, Music, Coke Studio 14, Ali Sethi, Shaegill, Pasoori, Shae gill",10,PT4M37S,808927938,193213,,"https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Music_of_Asia, https://en.wikipedia.org/wiki/Pop_music",TRUE,"اگ لاواں مجبوری نوں
(Agg lavaan majboori nu)
Set fire to your worries آن جان دی پسوڑی نوں
(Aan jaan di pasoori nu)
To waiting and to hurries زہر بنے ہاں تیری
(Zehar banay haan teri)
If your Love is poison پی جاواں میں پوری نوں
(Pee javaan main poori nu)
I’ll drink it in a flurry آنا سی او نئی آیا
(Aana si o nai aaya)
He said he’d come, he never did دل بانگ بانگ میرا ٹکرایا
(Dil baang baang mera takraya)
My heart lurched and slid کاگا بول کے دس جاوے
(Kaga bol ke dus jaavay)
Let the crow tell me why پاواں گھیو دی چُوری نوں
(Paavaan gheyo dee choori nu)
And feast on sweet supply راواں چہ باواں چہ او نوں لُکاواں
(Raawaan ch baawaan ch o nu lukawaan)
I’ll hide him and bide him in loving embraces کوئی میں نوں نہ روکے
(Koi mainu na rokay)
No one make me stop میرے ڈھول جدائیاں دی تینوں خبر کیویں ہووے
(Mere dhol judaiyaan di tenu khabar kivain hovay)
My love how can you know what happens when we part آ جاوے دل تیرا پورا وی نا ہووے
(Aa jaavay dil tera poora vi na hovay)
I hope you fall in love, I hope it breaks your heart ہاں بنیا بنائیاں دی گل بات کیویں ہووے
(Haan baniya banaiyaan di gal baat kivain hovay)
How will the willing communicate? آ جاوے دل تیرا پورا وی نا ہووے
(Aa jaavay dil tera poora vi na hovay)
I hope you fall in love, I hope it breaks your heart بھُل گئی مجبوری نوں
(Bhul gayi majboori nu)
I forgot about my chains دنیا دی دستوری نوں
(Dunya di dastoori nu)
And people’s refrains ساتھ تیرا ہے بتھیرا
(Saath tera hai bathera)
You’re enough for me پورا کرضروری نوں
(Poora kar zaroori nu)
Fulfil my destiny آنا سی او نئی آیا
(Aana si o nayi aaya)
He said he’d come, he never did راستہ نہ دکھلایا
(Raasta na dikhlaya)
I couldn’t see, the way was hid دل ہمارا دے سہارا
(Dil hamara de sahara)
My heart gives solace خواہشات ادھُوری نوں
(Khaahishaat adhoori nu)
To wishes unfulfilled واری میں جاواں میں تینو بلاواں
(Waari main javaan main tenu bulawan)
I dote on you, I call out your name گل ساری تاں ہووے
(Gal saaree taan hovay)
Let’s have it out, for shame! میرے ڈھول جدائیاں دی تینوں خبر کیویں ہووے
(Mere dhol judaiyaan di tenu khabar kivain hovay)
My love how can you know what happens when we part آ جاوے دل تیرا پورا وی نا ہووے
(Aa jaavay dil tera poora vi na hovay)
I hope you fall in love, I hope it breaks your heart ہاں بنیا بنائیاں دی گل بات کیویں ہووے
(Haan baniya banaiyaan di gal baat kivain hovay)
How will the willing communicate? آ جاوے دل تیرا پورا وی نا ہووے
(Aa jaavay dil tera poora vi na hovay)
I hope you fall in love, I hope it breaks your heart میرے ڈھول جدائیاں دی سرداری نہ ہووے
(Mere dhol judaiyaan di sardaari na hovay)
My love, don’t let this distance reign میرے ڈھول جدائیاں دی
(Mere dhol judaiyaan di)
My love what of this distance... میرے ڈھول جدائیاں دی سرداری نہ ہووے
(Mere dhol judaiyaan di sardaari na hovay)
My love, don’t let this distance reign دلداراں دی سب یاراں دی آزاری نہ ہووے
(Dildaaraan di sub yaaraan di aazaari na hovay)
Don’t let these lovers be in pain دلداراں دی سب یاراں دی آزاری نہ ہووے
(Dildaaraan di sub yaaraan di aazaari na hovay)
Don’t let these lovers be in pain آ چلیں لے کے تجھے
(Aa chalein le ke tujhay)
Come let’s go away ہیں جہاں سلسلے
(Hain jahan silsilay)
Where all the lovers meet تو ہے وہی ہے تیری کمی
(Tu hai wahi hai teri kami)
You’re the one, it’s you I need بنا دے سجا دے پناہ دے ہمیں
(Bana de saja de panah de humain)
Give me life, give me love, take me in your arms بنا دے سجا دے پناہ دے ہمیں
(Bana de saja de panah de humain)
Give me life, give me love, take me in your arms اگ لاواں مجبوری نوں
(Agg lavaan majboori nu)
Set fire to your worries آن جان دی پسوڑی نوں
(Aan jaan di pasoori nu)
To waiting and to hurries زہر بنے ہاں تیری
(Zehar banay haan teri)
If your Love is poison پی جاواں میں پوری نوں
(Pee javaan main poori nu)
I’ll drink it in a flurry راواں چہ باواں چہ او نوں لُکاواں
(Raawaan ch baawaan ch o nu lukawaan)
I’ll hide him and bide him in loving embraces کوئی میں نوں نہ روکے
(Koi mainu na rokay)
No one make me stop میرے ڈھول جدائیاں دی تینوں خبر کیویں ہووے
(Mere dhol judaiyaan di tenu khabar kivain hovay)
My love how can you know what happens when we part آ جاوے دل تیرا پورا وی نا ہووے
(Aa jaavay dil tera poora vi na hovay)
I hope you fall in love, I hope it breaks your heart ہاں بنیا بنائیاں دی گل بات کیویں ہووے
(Haan baniya banaiyaan di gal baat kivain hovay)
How will the willing communicate? آ جاوے دل تیرا پورا وی نا ہووے
(Aa jaavay dil tera poora vi na hovay)
I hope you fall in love, I hope it breaks your heart پورا وی نا ہووے
(Poora vi na hovay)
I hope it breaks your heart پورا وی نا ہووے
(Poora vi na hovay)
I hope it breaks your heart"
Kbj2Zss-5GY,A$AP Rocky - Praise The Lord (Da Shine) (Official Video) ft. Skepta,Official Video for ”Praise The Lord (Da Shine)” by A$AP Rocky feat. Skepta Listen to A$AP Rocky: ...,LIVELOVEASAPVEVO,2018-06-05T22:00:01Z,https://www.youtube.com/watch?v=Kbj2Zss-5GY,"asap rocky, praise the lord, asap rocky praise the lord, came saw, asap, my shades dior asap rocky, praise the lord asap rocky, a$ap rocky, my pants dior asap rocky, create explore expand conquer, skepta, my shades dior, came saw praise the lord, travis scott, my mix, your heart, 21 savage lot, SICKO MODE travis scott, everyday, fashion killa, freestyle, L$D, fuckin problems, asap rocky hits, asap hits, hip hop, A$AP Rocky feat. Skepta, Album",10,PT3M47S,646504464,84463,,"https://en.wikipedia.org/wiki/Electronic_music, https://en.wikipedia.org/wiki/Hip_hop_music, https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music, https://en.wikipedia.org/wiki/Rhythm_and_blues, https://en.wikipedia.org/wiki/Soul_music",TRUE,"♪♪ talking ♪♪ ♪ Get it, text a message
I don't know the number ♪ ♪ Flexin' on these niggas,
every bone and muscle ♪ ♪ Steady taking shots, but
never hurting nothing ♪ ♪ Even then you don't
worry none ♪ ♪ And I'd like to give a
shoutout to my niggas
with the game plan ♪ ♪ And shout-outs to my
niggas with escape plans ♪ ♪ Uh, twenty bands,
rain dance ♪ ♪ We can either rain check
or we can make plans ♪ ♪ Pockets loaded, rocket
loaded, okay lets rock and roll
this ♪ ♪ Time to go, lock, stock
and two smoking barrels
Locked and loaded ♪ ♪ Diamonds glowing,
chart-climbing on 'em ♪ ♪ You'd think I'm jumping out
the window how I got 'em open ♪ ♪ Line around the corner, line
'em up to block and over ♪ ♪ Times I even stop the smoking
when it's time to focus ♪ ♪ My shades, Dior, my pants,
velour Create, explore, expand,
conquer ♪ ♪ I came, I saw, I
came, I saw ♪ ♪ I praise, the Lord, then
break, the law ♪ ♪ I take, what's mine, then
take, some more ♪ ♪ It rains, it pours,
it rains, it pours ♪ ♪ I came, I saw, I
came, I saw ♪ ♪ I praise, the Lord, then
break, the law ♪ ♪ I take, what's mine,
then take, some more ♪ ♪ It rains, it pours,
it rains, it pours ♪ ♪ Yeah, I sold, the pack,
the loose, the hard (yeah) ♪ ♪ I listened, to X, I
peeped, the bars (yeah) ♪ ♪ The snakes, the rats,
the cats, the dogs ♪ ♪ The games, a trap, protect,
your heart (yeah) ♪ ♪ I waited, in line,
return, refine ♪ ♪ The new, design,
it's time, to shine ♪ ♪ To shine, to shine,
to shine, to shine ♪ ♪ I hustle, I flex, the
world, is mine ♪ ♪ So please, believe, allow,
the greaze ♪ ♪ These niggas, disease,
don't speak, we squeeze ♪ ♪ I make, the devil, go
weak, the knees ♪ ♪ You hate, you're lame,
your loss ♪ ♪ I came, I saw, I
came, I saw ♪ ♪ I praise, the Lord, then
break, the law ♪ ♪ I take, what's mine, then
take, some more ♪ ♪ It rains, it pours,
it rains, it pours ♪ ♪ I came, I saw, I
came, I saw ♪ ♪ I praise, the Lord,
then break, the law ♪ ♪ I take, what's mine, then
take, some more ♪ ♪ It rains, it pours,
it rains, it pours ♪ ♪ Uh, she came, I came,
now what's, my name? ♪ ♪ My chain, my pants, my
pants with the chain ♪ ♪ They know, it's me, the
hat and the shades ♪ ♪ They heard, my voice and
they ran to the stage ♪ ♪ My Vans, my braids,
my mans, my babe ♪ ♪ My girls, my ex, my
hoes that I left ♪ ♪ The way, I stepped out
the car, that's a flex ♪ ♪ Give thanks, get fresh,
praise the Lord then finesse,
bless ♪ ♪ I came, I saw, I
came, I saw ♪ ♪ I praise, the Lord, then
break, the law ♪ ♪ I take, what's mine, then
take, some more ♪ ♪ It rains, it pours,
it rains, it pours ♪ ♪ I came, I saw, I
came, I saw ♪ ♪ I praise, the Lord, then
break, the law ♪ ♪ I take, what's mine, then
take, some more ♪ ♪ It rains, it pours,
it rains, it pours ♪"
ekr2nIex040,ROSÉ &amp; Bruno Mars - APT. (Official Music Video),ROSÉ & Bruno Mars - APT. Download/stream: https://rosesarerosie.lnk.to/APTID Order APT. single CD: ...,ROSÉ,2024-10-18T04:00:07Z,https://www.youtube.com/watch?v=ekr2nIex040,"YG Entertainment, YG, 와이지, K-pop, BLACKPINK, 블랙핑크, 블핑, 로제, Rosé, BLINK, 블링크, bruno mars, APT., apt, apartment game, meet me at the, meet me at the apt, bruno mars rose apt, rose, rosesarerosie, rose apt, rose apt music video, rose apt video, rose bruno mars, rose bruno mars kiss, rose kiss",10,PT2M54S,648296299,514064,,"https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music",TRUE,[Music] start uhhuh [Music] uhuh uh uhhuh uh-huh kissy face kissy face sent to your phone butt I'm trying to kiss your Li for real uh-huh uh-huh red hearts red hearts that's what I'm on yeah come get me something I can feel oh oh oh don't you want me like I want you baby don't you need me like I need you now sleep tomorrow but tonight go crazy all you got to do is just meet me at the [Music] I uhuh [Music] uh-huh uhh uhh it's whatever it's whatever it's what but you like turn this OPP into a club I'm talking drink dance smoke freak party all night come on gum gum what's up oh oh oh don't you want me like I want you baby don't you need me like I need you now sleep tomorrow but tonight go crazy all you got to do is just meet me at the I I it I it uh uh-huh uh-huh I it I it I it I it I it I it uh uh-huh uh-huh hey so now you know the game are you ready cuz I'm coming to get you get you get you hold on hold on I'm on my way yeah yeah yeah yeah yeah I'm on my way hold on hold on I'm on my way yeah yeah yeah yeah yeah yeah I'm on my way don't you want me like I want you baby don't you need me like I need you now sleep tomorrow but tonight go crazy all you got to do is just meet me at I I I I that's it IET me I it I I make me
fregObNcHC8,Nirvana - The Man Who Sold The World (MTV Unplugged),REMASTERED IN HD! Taken from the 25th Anniversary Editions of Nirvana – MTV Unplugged in New York Order Now: ...,NirvanaVEVO,2009-06-16T22:56:31Z,https://www.youtube.com/watch?v=fregObNcHC8,"Nirvana, GEFFEN, Rock, MTV, Unplugged, Man Who Sold The World, Bowie, NIRVANA THE MAN WHO SOLD THE WORLD, THE MAN WHO SOLD THE WORLD NIRVANA, kurt cobain, krist novoselic, dave grohl, dave grohl NIRVANA, NIRVANA dave grohl, THE MAN WHO SOLD THE WORLD remastered, THE MAN WHO SOLD THE WORLD remastered video, NIRVANA remastered, NIRVANA remastered videos, remastered music videos, kurt cobain NIRVANA, THE, MAN, WHO, SOLD, WORLD, NIRVANA, hd",10,PT3M38S,570327956,105807,,"https://en.wikipedia.org/wiki/Independent_music, https://en.wikipedia.org/wiki/Music, https://en.wikipedia.org/wiki/Pop_music, https://en.wikipedia.org/wiki/Rock_music",FALSE,
